Department,Department_Division,PCN,Position_Title,FLSA_Status,Initial_Hire_Date,Date_in_Title,Salary
POL,POL 020 Operations Division,B.004532,Police Officer II,Non Exempt,2016-09-22,2020-02-27,56328.48
POL,POL 020 Operations Division,B.001191.1     ,Master Police Officer,Non Exempt,2011-02-01,2017-07-06,69636.32
POL,POL 020 Operations Division,B.001558,Police Officer I,Non Exempt,2020-01-02,2020-06-18,51000.04
POL,POL 020 Operations Division,B.001839,Police Sergeant,Non Exempt,2006-02-16,2019-01-03,85811.44
POL,POL 020 Operations Division,B.000194,Police Officer I,Non Exempt,2019-05-23,2020-07-16,50210.94
POL,POL 020 Operations Division,B.001488,Master Police Officer,Non Exempt,2010-08-16,2017-02-02,70202.6
POL,POL 020 Operations Division,N.030028,Police School Guard,Non Exempt,2012-08-20,2012-08-20,27.12
POL,POL 020 Operations Division,B.000461,Police Officer I,Non Exempt,2019-06-06,2019-11-21,52275.08
POL,POL 020 Operations Division,B.003118,Police Officer I,Non Exempt,2018-04-26,2018-10-11,52664.56
POL,POL 020 Operations Division,B.005122,Police Officer II,Non Exempt,2016-01-22,2019-07-04,57974.8
POL,POL 020 Operations Division,B.005563,Master Police Officer,Non Exempt,2004-02-16,2010-02-16,75121.28
POL,POL 020 Operations Division,B.002531,Police Sergeant,Non Exempt,2005-09-01,2018-01-18,89322.48
POL,POL 020 Operations Division,B.005851,Precinct Desk Officer II,Non Exempt,2005-03-01,2006-03-01,53284.14
POL,POL 020 Operations Division,B.001506.1     ,Police Lieutenant,Exempt,1996-09-03,2021-02-25,106503.54
POL,POL 020 Operations Division,B.003645,Police Sergeant,Non Exempt,2007-09-01,2021-02-11,80490.54
POL,POL 020 Operations Division,B.007242,Police Officer II,Non Exempt,2017-09-28,2021-03-25,56215.9
POL,POL 020 Operations Division,B.000256,Police Sergeant,Non Exempt,1990-01-16,2000-10-01,94494.4
POL,POL 020 Operations Division,B.000224,Police Officer I,Non Exempt,2021-01-28,2021-07-15,49226.32
POL,POL 020 Operations Division,B.002974,Police Sergeant,Non Exempt,1999-08-02,2010-11-01,94494.4
POL,POL 020 Operations Division,B.000434,Police Officer I,Non Exempt,2021-01-28,2021-07-15,49226.32
POL,POL 020 Operations Division,B.005338,Police Officer I,Non Exempt,2018-04-26,2018-10-11,51886.38
POL,POL 020 Operations Division,B.001647,Police Officer Recruit,Non Exempt,2021-07-29,2021-07-29,45656
POL,POL 020 Operations Division,B.003730,Precinct Desk Officer II,Non Exempt,2004-08-01,2008-07-01,48853.74
POL,POL 020 Operations Division,B.004681,Master Police Officer,Non Exempt,2004-08-01,2014-11-22,72693.14
POL,POL 020 Operations Division,B.002582,Master Police Officer,Non Exempt,2005-10-24,2014-06-22,72102.42
POL,POL 020 Operations Division,B.007244,Police Officer II,Non Exempt,2014-11-07,2021-03-25,55113.5
POL,POL 020 Operations Division,B.002885,Master Police Officer,Non Exempt,2007-06-16,2014-02-16,71924.84
POL,POL 020 Operations Division,B.001958,Police Officer Recruit,Non Exempt,2021-07-29,2021-07-29,45656
POL,POL 020 Operations Division,B.004528,Master Police Officer,Non Exempt,2002-08-01,2008-08-01,79642.68
POL,POL 020 Operations Division,B.001993,Police Officer II,Non Exempt,2017-03-30,2021-03-11,56328.48
POL,POL 020 Operations Division,B.007124,Police Officer I,Non Exempt,2018-04-26,2018-10-11,51886.38
POL,POL 020 Operations Division,B.005465,Police Officer II,Non Exempt,2016-09-22,2020-02-27,56328.48
POL,POL 020 Operations Division,B.000309,Police Officer I,Non Exempt,2020-07-16,2020-07-16,50456.9
POL,POL 020 Operations Division,B.002355,Police Officer I,Non Exempt,2018-04-26,2018-10-11,52924.04
POL,POL 020 Operations Division,B.005847,Precinct Desk Officer II,Non Exempt,2002-02-01,2003-02-01,53866.54
POL,POL 020 Operations Division,B.000210,Master Police Officer,Non Exempt,2015-01-22,2021-07-15,65124.8
POL,POL 020 Operations Division,B.000477,Police Officer II,Non Exempt,2016-01-22,2020-02-13,57690.62
POL,POL 020 Operations Division,B.000068,Master Police Officer,Non Exempt,2002-08-01,2008-08-01,81235.44
POL,POL 020 Operations Division,B.003067,Master Police Officer,Non Exempt,2013-07-16,2020-01-02,60921.12
POL,POL 020 Operations Division,B.005653,Police Officer I,Non Exempt,2018-11-08,2019-05-09,51500.02
POL,POL 020 Operations Division,B.001028,Police Sergeant,Non Exempt,2006-02-16,2021-02-25,80468.44
POL,POL 020 Operations Division,B.004656,Police Officer Recruit,Non Exempt,2021-07-29,2021-07-29,45656
POL,POL 020 Operations Division,B.007243,Police Officer I,Non Exempt,2018-11-08,2019-05-09,52530.14
POL,POL 020 Operations Division,B.001207.1     ,Administrative Assistant,Non Exempt,2011-01-16,2019-10-10,41678.26
POL,POL 020 Operations Division,B.000563,Police Officer I,Non Exempt,2021-01-28,2021-07-15,50210.94
POL,POL 020 Operations Division,B.000507,Police Officer I,Non Exempt,2018-11-08,2019-05-09,52530.14
POL,POL 020 Operations Division,B.001727,Police Officer I,Non Exempt,2019-06-06,2019-11-21,51764.96
POL,POL 020 Operations Division,B.005657,Police Officer II,Non Exempt,2015-07-22,2019-11-21,58696.56
POL,POL 020 Operations Division,B.000389,Police Sergeant,Non Exempt,1994-06-16,2015-01-22,93732.86
POL,POL 020 Operations Division,B.000705,Police Officer I,Non Exempt,2020-07-16,2020-07-16,50210.94
POL,POL 020 Operations Division,B.001024,Police Officer I,Non Exempt,2019-06-06,2019-11-21,51000.04
POL,POL 020 Operations Division,B.001366.1     ,Police Captain,Exempt,2003-08-01,2021-04-22,117847.34
POL,POL 020 Operations Division,B.007117,Police Officer II,Non Exempt,2017-03-30,2020-08-27,56328.48
POL,POL 020 Operations Division,B.001016,Master Police Officer,Non Exempt,2000-03-01,2009-07-01,79395.16
POL,POL 020 Operations Division,B.005413,Master Police Officer,Non Exempt,2012-05-16,2020-06-18,63868.74
POL,POL 020 Operations Division,B.003594,Police Sergeant,Non Exempt,2008-01-16,2019-01-03,84569.94
POL,POL 020 Operations Division,B.003230,Precinct Desk Officer II,Non Exempt,1996-12-30,2004-01-01,52888.94
POL,POL 020 Operations Division,B.003252.2     ,Police Sergeant,Non Exempt,2002-01-16,2020-08-13,89041.16
POL,POL 020 Operations Division,B.000792,Police Officer I,Non Exempt,2020-07-16,2021-07-15,49226.32
POL,POL 020 Operations Division,B.005018.1     ,Master Police Officer,Non Exempt,2013-05-16,2020-12-31,64579.32
POL,POL 020 Operations Division,B.002651,Police Officer II,Non Exempt,2014-01-16,2020-02-13,56453.28
POL,POL 020 Operations Division,B.004636,Police Sergeant,Non Exempt,2006-08-16,2020-01-16,82224.22
POL,POL 020 Operations Division,B.002617,Police Officer I,Non Exempt,2018-09-13,2020-06-18,52020.02
POL,POL 020 Operations Division,B.007119,Police Officer II,Non Exempt,2016-09-22,2020-02-27,56328.48
POL,POL 020 Operations Division,B.005422,Police Officer I,Non Exempt,2018-11-08,2019-05-09,51500.02
POL,POL 020 Operations Division,B.000293,Police Officer II,Non Exempt,2015-01-22,2019-02-14,57688.28
POL,POL 020 Operations Division,B.005466,Master Police Officer,Non Exempt,1997-09-16,2004-08-16,81494.4
POL,POL 020 Operations Division,B.003835,Police Sergeant,Non Exempt,2002-07-01,2011-12-16,94297.84
POL,POL 020 Operations Division,B.005232,Police Officer II,Non Exempt,2015-07-22,2016-01-07,58606.34
POL,POL 020 Operations Division,B.005421,Police Officer I,Non Exempt,2014-07-22,2015-01-07,55050.06
POL,POL 020 Operations Division,B.001369,Police Officer I,Non Exempt,2021-01-28,2021-07-15,49226.32
POL,POL 020 Operations Division,B.005021,Police Officer I,Non Exempt,2018-11-08,2019-05-09,52272.48
POL,POL 020 Operations Division,B.003097,Police Officer I,Non Exempt,2020-01-02,2020-06-18,52020.02
POL,POL 020 Operations Division,B.005845,Automotive Services Aide,Non Exempt,2002-04-01,2002-04-01,33911.8
POL,POL 020 Operations Division,B.004203,Police Officer II,Non Exempt,2015-07-22,2019-02-14,58696.56
POL,POL 020 Operations Division,B.001878,Police Sergeant,Non Exempt,2008-06-02,2021-05-06,78640.12
POL,POL 020 Operations Division,B.002001.1     ,Police Sergeant,Non Exempt,2007-09-01,2021-03-25,81381.56
POL,POL 020 Operations Division,B.006182,Master Police Officer,Non Exempt,2012-07-16,2017-12-21,68102.06
POL,POL 020 Operations Division,B.000549,Master Police Officer,Non Exempt,2013-07-16,2020-01-02,65146.12
POL,POL 020 Operations Division,B.005414,Master Police Officer,Non Exempt,2004-01-01,2009-01-01,79735.76
POL,POL 020 Operations Division,B.002673,Master Police Officer,Non Exempt,2014-07-22,2020-12-31,64897.56
POL,POL 020 Operations Division,B.004858,Master Police Officer,Non Exempt,1992-09-14,1998-09-16,81494.4
POL,POL 020 Operations Division,B.001074,Master Police Officer,Non Exempt,2005-01-16,2011-01-16,73829.08
POL,POL 020 Operations Division,B.005003,Police Officer II,Non Exempt,2016-01-22,2019-07-04,57690.62
POL,POL 020 Operations Division,B.001602,Police Officer I,Non Exempt,2021-01-28,2021-07-15,49226.32
POL,POL 020 Operations Division,B.005849,Precinct Desk Officer II,Non Exempt,2008-10-16,2016-01-07,48292.14
POL,POL 020 Operations Division,B.001164,Police Officer I,Non Exempt,2019-06-06,2019-11-21,51000.04
POL,POL 020 Operations Division,B.003154,Police Officer I,Non Exempt,2020-01-02,2020-06-18,52020.02
POL,POL 020 Operations Division,B.003193,Police Officer I,Non Exempt,2018-04-26,2018-10-11,52924.04
POL,POL 020 Operations Division,B.007249,Police Officer I,Non Exempt,2017-09-28,2018-10-11,52482.04
POL,POL 020 Operations Division,B.003323,Police Sergeant,Non Exempt,1994-02-16,2021-02-11,94494.4
POL,POL 020 Operations Division,B.003916,Police Officer I,Non Exempt,2020-01-02,2020-06-18,52020.02
POL,POL 020 Operations Division,B.004247,Police Officer Recruit,Non Exempt,2020-01-02,2020-01-02,47344.18
POL,POL 020 Operations Division,B.002277,Master Police Officer,Non Exempt,2013-01-16,2019-07-04,65779.22
POL,POL 020 Operations Division,B.004411,Police Sergeant,Non Exempt,2005-08-01,2020-01-16,81111.68
POL,POL 020 Operations Division,B.001380,Police Officer I,Non Exempt,2019-06-06,2019-11-21,52020.02
POL,POL 020 Operations Division,B.006186,Master Police Officer,Non Exempt,2001-01-16,2007-01-16,81494.4
POL,POL 020 Operations Division,B.007126,Police Sergeant,Non Exempt,1997-02-03,2016-08-22,94494.4
POL,POL 020 Operations Division,B.007121,Police Officer II,Non Exempt,2016-09-22,2020-02-27,56328.48
POL,POL 020 Operations Division,B.007122,Police Officer II,Non Exempt,2014-07-22,2020-02-27,55224
POL,POL 020 Operations Division,B.001637,Police Officer I,Non Exempt,2021-01-28,2021-07-15,49226.32
POL,POL 020 Operations Division,B.001061,Precinct Desk Officer I,Non Exempt,2014-04-01,2016-06-22,41548
POL,POL 020 Operations Division,B.000683,Police Officer I,Non Exempt,2016-02-22,2018-10-11,52482.04
POL,POL 020 Operations Division,N.030027,Community Service Officer,Non Exempt,2001-01-16,2001-01-16,14.63
POL,POL 020 Operations Division,B.005123,Police Officer II,Non Exempt,2014-05-22,2019-02-14,58842.16
POL,POL 020 Operations Division,B.000351,Police Sergeant,Non Exempt,1998-08-03,2019-01-03,94494.4
POL,POL 020 Operations Division,B.000235.1     ,Police Officer I,Non Exempt,2017-09-28,2018-03-29,52482.04
POL,POL 020 Operations Division,B.005848,Precinct Desk Officer II,Non Exempt,2013-09-01,2015-11-22,46128.94
POL,POL 020 Operations Division,B.002143,Master Police Officer,Non Exempt,2008-01-16,2014-06-22,71924.84
POL,POL 020 Operations Division,B.003406,Master Police Officer,Non Exempt,2000-05-15,2007-01-16,81494.4
POL,POL 020 Operations Division,B.007651.1     ,Public Safety Analyst II,Exempt,1997-02-12,2021-05-20,77963.08
POL,POL 020 Operations Division,B.001402,Master Police Officer,Non Exempt,2002-11-16,2006-02-16,81494.4
POL,POL 020 Operations Division,B.000124,Master Police Officer,Non Exempt,2003-01-16,2009-01-16,75720.58
POL,POL 020 Operations Division,B.003100,Master Police Officer,Non Exempt,1999-01-11,2005-07-01,81494.4
POL,POL 020 Operations Division,B.003712,Police Sergeant,Non Exempt,2006-02-16,2021-02-11,79302.34
POL,POL 020 Operations Division,B.003170,Master Police Officer,Non Exempt,2010-08-16,2017-02-02,68826.16
POL,POL 020 Operations Division,N.030561.1     ,Operations Specialist I,Non Exempt,2015-11-07,2015-11-07,16.28
POL,POL 020 Operations Division,B.005000,Police Sergeant,Non Exempt,2006-02-16,2019-05-23,84362.98
POL,POL 020 Operations Division,B.003316,Police Sergeant,Non Exempt,2008-01-16,2019-01-03,84569.94
POL,POL 020 Operations Division,B.006068,Master Police Officer,Non Exempt,2009-05-18,2016-08-07,69858.62
POL,POL 020 Operations Division,B.001677,Master Police Officer,Non Exempt,2015-01-22,2021-07-15,65457.6
POL,POL 020 Operations Division,B.001533,Police Sergeant,Non Exempt,2009-09-21,2021-05-06,78240.76
POL,POL 020 Operations Division,B.001286,Police Officer I,Non Exempt,2020-05-21,2020-07-16,49226.32
POL,POL 020 Operations Division,B.001700.1     ,Police Captain,Exempt,1994-05-01,2021-05-20,119542.8
POL,POL 020 Operations Division,B.001876,Master Police Officer,Non Exempt,2015-01-22,2021-07-15,65124.8
POL,POL 020 Operations Division,B.003376,Master Police Officer,Non Exempt,2002-01-16,2008-07-01,77281.62
POL,POL 020 Operations Division,B.004034,Police Officer I,Non Exempt,2018-04-26,2018-10-11,51886.38
POL,POL 020 Operations Division,B.004199,Police Officer I,Non Exempt,2018-04-26,2018-10-11,52924.04
POL,POL 020 Operations Division,B.001633,Police Officer II,Non Exempt,2017-03-30,2021-03-11,55224
POL,POL 020 Operations Division,B.001716,Master Police Officer,Non Exempt,2013-06-01,2016-04-22,70248.36
POL,POL 020 Operations Division,B.003731.1     ,Police Lieutenant,Exempt,1997-02-03,2020-01-16,106913.3
POL,POL 020 Operations Division,B.004524,Police Sergeant,Non Exempt,1995-07-10,2009-12-01,94494.4
POL,POL 020 Operations Division,B.003837,Master Police Officer,Non Exempt,1994-06-14,2016-02-07,70840.64
POL,POL 020 Operations Division,B.002642.1     ,Police Lieutenant,Exempt,2003-01-16,2018-07-05,103931.62
POL,POL 020 Operations Division,B.001363,Police Officer I,Non Exempt,2020-05-21,2020-07-16,50210.94
POL,POL 020 Operations Division,B.002155.1     ,Police Officer II,Non Exempt,2008-10-01,2021-03-25,55113.5
POL,POL 020 Operations Division,B.003053.1     ,Administrative Assistant,Non Exempt,2007-01-08,2008-01-01,42863.86
POL,POL 020 Operations Division,B.000524,Police Officer I,Non Exempt,2018-11-08,2019-05-09,52530.14
POL,POL 020 Operations Division,B.005010,Police Officer I,Non Exempt,2020-01-02,2020-06-18,51000.04
POL,POL 020 Operations Division,B.007246,Police Officer I,Non Exempt,2016-09-22,2021-04-22,51688
POL,POL 020 Operations Division,B.000265,Police Officer I,Non Exempt,2021-01-28,2021-01-28,50210.94
POL,POL 020 Operations Division,B.001615,Precinct Desk Officer II,Non Exempt,2004-07-01,2005-07-01,53284.14
POL,POL 020 Operations Division,B.005569,Master Police Officer,Non Exempt,2005-08-01,2012-01-16,73238.62
POL,POL 020 Operations Division,B.004307.1     ,Police Lieutenant,Exempt,2003-08-01,2021-05-20,99302.84
POL,POL 020 Operations Division,B.005112,Master Police Officer,Non Exempt,1991-05-01,2001-07-16,81494.4
POL,POL 020 Operations Division,B.001559,Police Officer I,Non Exempt,2020-07-16,2020-07-16,50456.9
POL,POL 020 Operations Division,B.004188,Police Sergeant,Non Exempt,1997-02-03,2009-06-16,94494.4
POL,POL 020 Operations Division,B.003817,Master Police Officer,Non Exempt,2002-01-16,2008-01-16,81494.14
POL,POL 020 Operations Division,B.002090,Police Officer II,Non Exempt,2016-09-22,2020-02-27,55224
POL,POL 020 Operations Division,B.006072,Police Officer I,Non Exempt,2020-07-16,2020-07-16,50210.94
POL,POL 020 Operations Division,B.004996,Police Officer I,Non Exempt,2018-04-26,2018-10-11,51886.38
POL,POL 020 Operations Division,B.002045,Police Officer II,Non Exempt,2015-01-22,2021-03-11,58042.92
POL,POL 020 Operations Division,B.005118,Police Officer I,Non Exempt,2020-01-02,2020-06-18,52020.02
POL,POL 020 Operations Division,B.005228,Police Officer I,Non Exempt,2020-01-02,2021-07-15,51000.04
POL,POL 020 Operations Division,B.002851,Master Police Officer,Non Exempt,2006-01-16,2012-08-01,68478.54
POL,POL 020 Operations Division,B.000772,Police Officer II,Non Exempt,2017-09-28,2021-03-25,56215.9
POL,POL 020 Operations Division,B.003575,Master Police Officer,Non Exempt,1990-01-16,1996-05-16,81494.4
POL,POL 020 Operations Division,B.000902,Police Officer II,Non Exempt,2015-10-07,2021-03-25,55113.5
POL,POL 020 Operations Division,B.002258.1     ,Police Captain,Exempt,1993-11-01,2021-08-12,118705.6
POL,POL 020 Operations Division,B.004997,Police Officer II,Non Exempt,2015-07-22,2020-02-27,57545.54
POL,POL 020 Operations Division,B.001421,Police Officer I,Non Exempt,2021-01-28,2021-01-28,50602.76
POL,POL 020 Operations Division,B.005367,Police Officer I,Non Exempt,2020-01-02,2020-01-02,52020.02
POL,POL 020 Operations Division,B.004533,Master Police Officer,Non Exempt,2014-01-16,2021-01-14,64056.98
POL,POL 020 Operations Division,B.000574,Master Police Officer,Non Exempt,1996-01-08,2001-11-01,81494.4
POL,POL 020 Operations Division,B.001400,Police Officer Recruit,Non Exempt,2021-07-29,2021-07-29,45656
POL,POL 020 Operations Division,B.003484,Police Officer II,Non Exempt,2017-03-30,2020-08-27,56328.48
POL,POL 020 Operations Division,N.030028,Police School Guard,Non Exempt,1997-09-03,1997-09-03,27.12
POL,POL 020 Operations Division,B.002594,Police Officer II,Non Exempt,2016-09-22,2020-02-27,56328.48
POL,POL 020 Operations Division,B.004654,Police Officer I,Non Exempt,2003-07-01,2003-07-01,64699.96
POL,POL 020 Operations Division,B.000585,Master Police Officer,Non Exempt,1999-08-02,2005-10-01,81494.4
POL,POL 020 Operations Division,B.002278,Police Officer I,Non Exempt,2020-01-02,2020-06-18,52020.02
POL,POL 020 Operations Division,B.001703.1     ,Police Officer I,Non Exempt,2020-07-16,2021-07-15,49226.32
POL,POL 020 Operations Division,B.005012,Police Officer I,Non Exempt,2016-05-22,2018-10-11,52924.04
POL,POL 020 Operations Division,B.005846,Automotive Services Aide,Non Exempt,1999-02-01,2020-03-12,30521.4
POL,POL 020 Operations Division,B.002018,Police Officer I,Non Exempt,2021-01-28,2021-07-15,49226.32
POL,POL 020 Operations Division,B.001948.2     ,Police Officer Recruit,Non Exempt,2021-07-29,2021-07-29,45656
POL,POL 020 Operations Division,B.002995,Police Officer II,Non Exempt,2017-09-28,2021-03-25,56215.9
POL,POL 020 Operations Division,B.005344,Police Officer I,Non Exempt,2018-04-26,2018-10-11,52924.04
POL,POL 020 Operations Division,B.002166,Police Officer II,Non Exempt,2017-03-30,2020-08-27,55224
POL,POL 020 Operations Division,B.002059,Police Officer Recruit,Non Exempt,2021-07-29,2021-07-29,45656
POL,POL 020 Operations Division,B.002854,Police Officer II,Non Exempt,2016-09-22,2020-02-27,56328.48
POL,POL 020 Operations Division,B.002299,Police Officer I,Non Exempt,2019-06-06,2020-06-18,51000.04
POL,POL 020 Operations Division,B.002304,Police Officer I,Non Exempt,2019-06-06,2019-11-21,52275.08
POL,POL 020 Operations Division,N.030028,Police School Guard,Non Exempt,2004-02-23,2004-02-23,27.12
POL,POL 020 Operations Division,B.003182,Police Sergeant,Non Exempt,2010-08-16,2021-05-06,78430.3
POL,POL 020 Operations Division,B.004650,Master Police Officer,Non Exempt,2014-01-16,2020-06-18,65146.12
POL,POL 020 Operations Division,B.003418,Police Officer II,Non Exempt,2016-09-22,2020-02-27,56328.48
POL,POL 020 Operations Division,B.000012.1     ,Master Police Officer,Non Exempt,2003-08-01,2010-08-01,75735.92
POL,POL 020 Operations Division,B.003303.1     ,Police Officer I,Non Exempt,2017-03-30,2018-03-29,52482.04
POL,POL 020 Operations Division,B.002976,Master Police Officer,Non Exempt,2002-01-16,2008-01-16,80823.08
POL,POL 020 Operations Division,B.005126,Police Sergeant,Non Exempt,2005-09-01,2016-02-22,91639.86
POL,POL 020 Operations Division,B.001411,Police Officer I,Non Exempt,2020-01-02,2020-06-18,51000.04
POL,POL 020 Operations Division,B.000689.1     ,Police Sergeant,Non Exempt,2003-08-01,2017-03-30,87682.4
POL,POL 020 Operations Division,B.003061.1     ,Police Lieutenant,Exempt,2002-08-01,2021-05-06,101311.86
POL,POL 020 Operations Division,B.003210,Master Police Officer,Non Exempt,2014-07-22,2020-12-31,64579.32
POL,POL 020 Operations Division,B.003397,Master Police Officer,Non Exempt,2014-07-22,2020-12-31,63625.12
POL,POL 020 Operations Division,B.002244,Master Police Officer,Non Exempt,2014-01-16,2020-06-18,65146.12
POL,POL 020 Operations Division,B.000860,Police Sergeant,Non Exempt,2006-04-01,2018-05-10,89322.48
POL,POL 020 Operations Division,B.004633,Police Sergeant,Non Exempt,2002-08-01,2021-02-11,89065.34
POL,POL 020 Operations Division,B.005468,Police Officer I,Non Exempt,2018-04-26,2018-10-11,51886.38
POL,POL 020 Operations Division,B.002664.1     ,Police Captain,Exempt,1987-08-17,2014-06-22,125117.98
POL,POL 020 Operations Division,B.002891.1     ,Precinct Desk Officer II,Non Exempt,2016-08-07,2017-08-03,43986.54
POL,POL 020 Operations Division,B.001941,Precinct Desk Officer II,Non Exempt,2018-05-10,2020-03-12,43840.94
POL,POL 020 Operations Division,B.002560,Police Officer I,Non Exempt,2016-05-22,2019-11-21,51382.5
POL,POL 020 Operations Division,B.001966,Police Sergeant,Non Exempt,2010-08-16,2019-05-23,84569.94
POL,POL 020 Operations Division,B.002186,Master Police Officer,Non Exempt,2000-08-07,2006-08-16,81494.4
POL,POL 020 Operations Division,B.002123,Office Assistant II,Non Exempt,2019-02-14,2019-02-14,33612.02
POL,POL 020 Operations Division,B.002106.1     ,Police Officer I,Non Exempt,2020-05-21,2020-07-16,50210.94
POL,POL 020 Operations Division,B.001984.1     ,Master Police Officer,Non Exempt,1999-01-11,2005-01-16,81494.4
POL,POL 020 Operations Division,B.005361,Master Police Officer,Non Exempt,1997-09-01,2003-09-16,81494.4
POL,POL 020 Operations Division,B.002562,Master Police Officer,Non Exempt,1999-08-02,2005-08-01,81494.4
POL,POL 020 Operations Division,B.000051,Police Officer II,Non Exempt,2017-03-30,2020-08-27,55224
POL,POL 020 Operations Division,B.004860,Master Police Officer,Non Exempt,2005-09-01,2015-04-22,71182.28
POL,POL 020 Operations Division,B.000618,Master Police Officer,Non Exempt,1982-03-01,1991-02-01,81494.4
POL,POL 020 Operations Division,B.002741,Precinct Desk Officer II,Non Exempt,2012-05-16,2020-03-26,42884.14
POL,POL 020 Operations Division,B.005566.1     ,Master Police Officer,Non Exempt,2011-02-01,2017-07-06,69294.68
POL,POL 020 Operations Division,B.003913,Master Police Officer,Non Exempt,1996-01-08,2002-01-16,81494.4
POL,POL 020 Operations Division,B.002483,Police Officer I,Non Exempt,2015-03-07,2020-07-16,52410.28
POL,POL 020 Operations Division,B.003350,Police Sergeant,Non Exempt,2006-02-16,2018-01-18,86853.26
POL,POL 020 Operations Division,B.003450,Police Officer II,Non Exempt,2017-09-28,2021-03-25,56215.9
POL,POL 020 Operations Division,B.003349.2     ,Police Officer I,Non Exempt,2019-06-06,2019-11-21,52020.02
POL,POL 020 Operations Division,B.004352,Master Police Officer,Non Exempt,2014-07-22,2020-12-31,64897.56
POL,POL 020 Operations Division,B.004491,Master Police Officer,Non Exempt,2014-07-22,2019-12-05,64897.56
POL,POL 020 Operations Division,B.003698.1     ,Police Lieutenant,Non Exempt,2004-04-01,2021-08-12,101608
POL,POL 020 Operations Division,B.005568,Police Officer II,Non Exempt,2013-05-16,2019-02-14,58696.56
POL,POL 020 Operations Division,B.003871.1     ,Administrative Assistant,Non Exempt,2009-01-01,2009-01-01,42427.06
POL,POL 020 Operations Division,B.005339,Master Police Officer,Non Exempt,1996-09-03,2002-09-16,81494.4
POL,POL 020 Operations Division,B.003642,Police Officer I,Non Exempt,2018-05-24,2019-11-21,52020.02
POL,POL 020 Operations Division,B.003647,Police Sergeant,Non Exempt,2003-08-01,2018-05-10,89322.48
POL,POL 020 Operations Division,B.002786,Police Officer II,Non Exempt,2017-03-30,2021-03-11,56052.36
POL,POL 020 Operations Division,B.006184,Police Officer I,Non Exempt,2018-04-26,2018-10-11,52924.04
POL,POL 020 Operations Division,B.002768,Police Officer Recruit,Non Exempt,2021-07-29,2021-07-29,45656
POL,POL 020 Operations Division,B.002113,Police Officer I,Non Exempt,2017-09-20,2021-07-15,49226.32
POL,POL 020 Operations Division,B.003825.1     ,Police Lieutenant,Exempt,2006-08-16,2021-05-06,101130.38
POL,POL 020 Operations Division,B.001589,Master Police Officer,Non Exempt,2005-08-01,2012-01-16,73238.62
POL,POL 020 Operations Division,B.003669,Police Officer II,Non Exempt,2017-09-28,2021-03-25,56215.9
POL,POL 020 Operations Division,B.003541,Police Officer II,Non Exempt,2017-03-30,2020-08-27,56328.48
POL,POL 020 Operations Division,B.005561,Master Police Officer,Non Exempt,2007-07-14,2014-02-16,70514.6
POL,POL 020 Operations Division,B.000917,Master Police Officer,Non Exempt,2009-07-16,2016-02-07,69381.52
POL,POL 020 Operations Division,B.002695,Police Officer I,Non Exempt,2020-07-16,2020-07-16,49226.32
POL,POL 020 Operations Division,B.002271,Police Officer I,Non Exempt,2021-01-28,2021-07-15,49226.32
POL,POL 020 Operations Division,B.002800,Police Officer Recruit,Non Exempt,2021-07-29,2021-07-29,45656
POL,POL 020 Operations Division,B.005365,Police Officer II,Non Exempt,2017-03-30,2020-08-27,55224
POL,POL 020 Operations Division,B.002903,Police Officer I,Non Exempt,2017-02-02,2021-01-28,49226.32
POL,POL 020 Operations Division,B.003640,Police Officer II,Non Exempt,2016-09-22,2020-02-27,56328.48
POL,POL 020 Operations Division,B.002764,Police Officer I,Non Exempt,2020-07-16,2020-07-16,50210.94
POL,POL 020 Operations Division,B.002834,Police Officer I,Non Exempt,2018-11-08,2019-05-09,51500.02
POL,POL 020 Operations Division,B.005470,Police Officer II,Non Exempt,2017-03-30,2020-08-27,56328.48
POL,POL 020 Operations Division,B.000840,Master Police Officer,Non Exempt,2008-11-01,2018-06-21,68256.76
POL,POL 020 Operations Division,N.030028,Police School Guard,Non Exempt,2000-05-01,2000-05-01,27.12
POL,POL 020 Operations Division,B.002836,Police Officer II,Non Exempt,2015-07-22,2020-02-13,57545.54
POL,POL 020 Operations Division,B.001998,Police Officer I,Non Exempt,2021-07-29,2021-07-29,51500.02
POL,POL 020 Operations Division,N.030028,Police School Guard,Non Exempt,2016-08-19,2016-08-19,27.12
POL,POL 020 Operations Division,B.003991,Police Officer I,Non Exempt,2019-06-06,2019-11-21,52020.02
POL,POL 020 Operations Division,B.003943,Master Police Officer,Non Exempt,1997-02-03,2003-02-16,81494.4
POL,POL 020 Operations Division,B.005562,Police Officer II,Non Exempt,2017-03-30,2020-08-27,56328.48
POL,POL 020 Operations Division,B.005362,Police Officer I,Non Exempt,2019-06-06,2020-06-18,52020.02
POL,POL 020 Operations Division,B.003167,Police Officer Recruit,Non Exempt,2021-01-28,2021-07-29,45656
POL,POL 020 Operations Division,B.002904,Police Officer I,Non Exempt,2020-01-02,2020-06-18,52020.02
POL,POL 020 Operations Division,B.000358,Police Officer II,Non Exempt,2017-03-30,2021-03-25,56052.36
POL,POL 020 Operations Division,B.005011,Master Police Officer,Non Exempt,2014-07-22,2020-12-31,64897.56
POL,POL 020 Operations Division,B.002162,Master Police Officer,Non Exempt,2003-01-16,2009-01-16,78195
POL,POL 020 Operations Division,B.003986,Police Officer Recruit,Non Exempt,2021-07-29,2021-07-29,45656
